201
0.0 4.3823571953539275  86012374.87846677 19939741.695790544
0.0 4.258362037162576  87626807.33012283 21492946.996827725
0.0 4.126878481282583  89439975.52004583 23260561.28710739
0.0 3.988391391707956  91481963.1180321 25277067.465102218
0.0 3.8435100406612324  93781429.63923256 27585308.730502933
0.0 3.693121287588796  96364670.3618993 30225449.653177336
0.0 3.5359439768985963  99297950.36018288 33285376.512432612
0.0 3.3782223694970943  102573473.24292627 36747091.332275964
0.0 3.220133154675608  106231969.38693582 40681060.172785155
0.0 3.0619675692412693  110311601.69983844 45155319.48202768
0.0 2.903918427390564  114858763.60678285 50250124.14982774
0.0 2.7461547228692083  119915324.52443905 56046527.826536424
0.0 2.5889561887624546  125526735.79965378 62628150.36739039
0.0 2.432833703037323  131734740.82125123 70070737.68533446
0.0 2.2786148260750654  138573828.8294741 78427940.98085372
0.0 2.1274826034628997  146068862.88543296 87729805.07531399
0.0 1.980633180601434  154206661.72103256 97972489.63490228
0.0 1.8387050195489774  162905206.9198024 109098072.67115615
0.0 1.7016089579438  172009481.75195774 120990620.9737854
0.0 1.5691135328622121  181282823.42550302 133461272.72936484
0.0 1.4415273998947624  190385956.5981088 146221871.75430697
0.0 1.3198804050202884  198850096.39974448 158803933.4832234
0.0 1.2056731085626233  206178139.53136292 170597562.06445253
0.0 1.1004490838237204  211967932.82132345 180988235.17833418
0.0 1.005407375030915  215855860.81115106 189363354.52937183
0.0 0.9211265127510513  217893279.21167123 195468649.76841244
0.0 0.847461153814575  218437053.18011233 199342930.02306902
0.0 0.7835154026557003  218127799.72322273 201503118.26814702
0.0 0.7277319837297113  217600898.6566435 202664703.9822805
0.0 0.6781138554647654  217399573.69509766 203537547.63045913
0.0 0.6325078002975516  217946053.79978383 204726965.52617273
0.0 0.5889191115111418  219560055.71142069 206720137.00066805
0.0 0.5457850325531942  222450823.92525113 209897693.66352746
0.0 0.5021613826843324  226596876.74644092 214388672.9919017
0.0 0.457737602236014  231851785.61216518 220126755.51069427
0.0 0.41271409347922566  238038426.24075887 226995986.87408873
0.0 0.3676941687525302  244783802.23677993 234666501.36550474
0.0 0.323569939961462  251668350.09703577 242683356.96309412
0.0 0.28133591034441835  258417725.25303409 250693696.77289915
0.0 0.24185636539154187  264827999.67751324 258416071.73202336
0.0 0.20564439672770757  270724623.9331633 265580302.95939815
0.0 0.1727633942315511  276110589.7683963 272086522.07195723
